Pytanie	Odpowiedź
Podaj przykłady monarchii konstytucyjnych.	Przykładami są Liechtenstein, Monako i Jordania.
Czym jest monarchia parlamentarna?	Monarchia parlamentarna to ustrój, w którym monarcha głównie reprezentuje państwo, a realną władzę sprawują parlament i rząd.
Podaj przykłady monarchii parlamentarnych.	Przykładami są Wielka Brytania, Hiszpania, Szwecja, Belgia i Dania.
Czym jest funkcja ustrojodawcza parlamentu?	To funkcja polegająca na uchwalaniu albo zmianie konstytucji.
Czym jest nowelizacja konstytucji?	Nowelizacja to zmiana obowiązującej konstytucji.
Czym jest funkcja ustawodawcza parlamentu?	To funkcja polegająca na uchwalaniu, zmienianiu i uchylaniu ustaw.
Jak wygląda ogólny proces ustawodawczy?	Obejmuje inicjatywę ustawodawczą, czytania, głosowanie, udział drugiej izby, podpis głowy państwa i ogłoszenie ustawy.
Czym jest kworum?	Kworum to minimalna liczba członków organu potrzebna do ważnego podjęcia decyzji.
Ile wynosi kworum w Sejmie i Senacie RP?	Wynosi co najmniej połowę ustawowej liczby posłów lub senatorów.
Czym jest funkcja kontrolna parlamentu?	To nadzór parlamentu nad rządem i innymi organami państwa.
Jakie narzędzia kontroli parlamentarnej istnieją?	Są to interpelacje, zapytania, wotum nieufności, wotum zaufania, absolutorium i komisje śledcze.
Czym jest interpelacja poselska?	Interpelacja to pisemne pytanie do rządu lub ministra w ważnej sprawie publicznej, wymagające odpowiedzi.
Czym jest zapytanie poselskie?	Zapytanie to pytanie parlamentarzysty dotyczące spraw bieżących albo mniej złożonych.
Czym jest funkcja kreacyjna parlamentu?	To funkcja polegająca na powoływaniu lub współpowoływaniu organów państwowych.
Jakie organy lub urzędy może wybierać albo współwybierać parlament w Polsce?	Parlament uczestniczy w wyborze między innymi członków Trybunału Konstytucyjnego, Trybunału Stanu, Prezesa NIK, RPO, Prezesa NBP i członków KRRiT.
Jakie są pozaprawodawcze funkcje parlamentu?	Należą do nich dyplomacja parlamentarna, funkcja symboliczna, uchwały okolicznościowe, edukacja obywatelska i wsparcie Polonii.
Czym jest system parlamentarno-gabinetowy?	To system, w którym rząd wyłania się z większości parlamentarnej i ponosi odpowiedzialność polityczną przed parlamentem.
Jaka jest rola premiera w modelu brytyjskim?	Premier jest liderem większości parlamentarnej i najważniejszą postacią rządu.
Czym jest konwenans konstytucyjny?	Konwenans konstytucyjny to niepisana, utrwalona reguła praktyki politycznej, zwykle respektowana mimo braku formalnej sankcji.
Jakie elementy systemu parlamentarno-gabinetowego występują w Polsce?	Rząd odpowiada przed Sejmem, możliwe jest wotum nieufności, a Sejm uczestniczy w powoływaniu Rady Ministrów.
Czym jest system kanclerski?	To odmiana systemu parlamentarnego, w której szczególnie silną pozycję ma kanclerz jako szef rządu.
Jaki kraj jest klasycznym przykładem systemu kanclerskiego?	Klasycznym przykładem są Niemcy.
Czym jest konstruktywne wotum nieufności?	To odwołanie szefa rządu tylko wtedy, gdy parlament jednocześnie wybierze jego następcę.
Jak konstruktywne wotum nieufności działa w Polsce?	Wniosek musi wskazywać kandydata na premiera i uzyskać większość ustawowej liczby posłów.
Jaka jest rola prezydenta w systemie kanclerskim Niemiec?	Prezydent pełni głównie funkcję reprezentacyjną i arbitrażową.
Czym jest system prezydencki?	To system, w którym prezydent jest jednocześnie głową państwa i szefem rządu.
Jaki kraj jest klasycznym przykładem systemu prezydenckiego?	Klasycznym przykładem są Stany Zjednoczone.
Jak wybierany jest prezydent USA?	Prezydent USA jest wybierany w wyborach pośrednich przez Kolegium Elektorów.
Czy prezydent USA ponosi odpowiedzialność polityczną przed Kongresem?	Nie, nie ponosi odpowiedzialności politycznej przed Kongresem, ale może podlegać impeachmentowi.
Czym jest impeachment?	Impeachment to procedura pociągnięcia wysokiego urzędnika, na przykład prezydenta, do odpowiedzialności konstytucyjnej.
Jaką rolę pełnią sekretarze w USA?	Sekretarze kierują departamentami i odpowiadają przed prezydentem, a nie przed parlamentem.
Czym jest checks and balances?	Checks and balances to system hamulców i równowagi między władzami.
Czym jest system parlamentarno-prezydencki?	To system łączący silnego prezydenta wybieranego powszechnie z rządem odpowiedzialnym przed parlamentem.
Jaki kraj jest klasycznym przykładem systemu parlamentarno-prezydenckiego?	Klasycznym przykładem jest Francja.
Jakie kompetencje ma prezydent Francji?	Prezydent powołuje premiera, może rozwiązać Zgromadzenie Narodowe, przewodniczy Radzie Ministrów i podpisuje akty państwowe.
Jakie elementy systemu półprezydenckiego występują w Polsce?	Prezydent jest wybierany powszechnie, ma prawo weta, uczestniczy w powoływaniu rządu i posiada prerogatywy.
Czym jest Rada Gabinetowa w Polsce?	Rada Gabinetowa to Rada Ministrów obradująca pod przewodnictwem Prezydenta RP, bez kompetencji rządu.
Czym jest system parlamentarno-komitetowy?	To system, w którym parlament ma pozycję nadrzędną, a rząd jest wybierany przez parlament jako organ kolegialny.
Jaki kraj jest przykładem systemu parlamentarno-komitetowego?	Przykładem jest Szwajcaria.
Czym jest Rada Federalna w Szwajcarii?	Rada Federalna to siedmioosobowy organ będący rządem i kolegialną głową państwa.
Jak wybierany jest prezydent Szwajcarii?	Funkcję prezydenta pełni rotacyjnie jeden z członków Rady Federalnej przez rok.
Dlaczego system szwajcarski nie jest zwykłą dyktaturą parlamentu?	Równoważą go niezależne sądy, system wielopartyjny, referenda i inicjatywa ludowa.
Czym jest system superprezydencki?	To system, w którym prezydent dominuje nad pozostałymi władzami, a mechanizmy kontroli są słabe lub fasadowe.
Jaki kraj jest przykładem systemu superprezydenckiego w materiale?	Przykładem jest Rosja.
Jakie cechy ma system superprezydencki?	Prezydent dominuje nad parlamentem, rządem i sądami, ma szerokie kompetencje i może osłabiać realny pluralizm.
Jak wybierany jest prezydent Rosji według materiału?	Prezydent Rosji jest wybierany w wyborach powszechnych na sześcioletnią kadencję.
Jaką rolę ma premier w systemie superprezydenckim?	Premier istnieje, ale jest podporządkowany prezydentowi i nie stanowi samodzielnego centrum władzy.
Dlaczego instytucje w systemie superprezydenckim bywają fasadowe?	Ponieważ formalnie istnieją parlament, sądy i wybory, ale w praktyce nie ograniczają skutecznie władzy prezydenta.
